DataNumberSFAFItem,Type,Title,SPECTRUMXXITags,Required,MaximumLengthsInput,OccurrencesMaximum,IRACTo,GMFTags,IsArray,FieldName,Column,DBType,Group,Description
118,Emission Characteristics,Power/ERP Augmentation,,,1,20,N,,TRUE,118,sfaf.power_erp_augmentation,str(1),Transmitter,This is a coded data entry that is used to indicate when either Data Item 115 (Power) or Data Item 117 (ERP) is computer-generated.
130,Time/Date Information,Time,TME,,4,1,Y,TME,FALSE,130,sfaf.time,str(4),,"The period of time when the frequency will be either guarded (monitored) or used for transmission. The period indicated is not a limitation or a restriction, but rather the period when the frequency must be available to satisfy its operational requirement. The data entered shall indicate (1) whether the frequency is required occasionally or on a regular basis, and (2) whether it is required only during the normal workweek (between 0600 and 1800, Monday through Friday) or for additional periods of time."
131,Time/Date Information,Percent Time,,,2,1,N,,FALSE,131,sfaf.percent_time,str(2),,The percentage of time the transmitter equipment is in use during the scheduled hours of operation.
140,Time/Date Information,Required Date,,,8,1,N,,FALSE,140,sfaf.required_date,str(8),,The date a new assignment or modification to an assignment is to be operational.
141,Time/Date Information,Expiration Date,EXD,,8,1,Y,EXD,FALSE,141,sfaf.expiration_date,str(8),,The date when a temporary assignment is to expire. Temporary assignments are not to exceed five years. This data item is blank when Data Item 142 contains data.
142,Time/Date Information,Review Date,,,8,1,N,,FALSE,142,sfaf.review_date,str(8),,"The date by which the assignment is to be reviewed according to the FRRS review program. If records are processed to IRAC, the review date will be regenerated based on the FAS meeting date plus five years for all assignments except AAG/MAG assignments for which ten years are added to the FAS meeting date."
143,Time/Date Information,Revision Date,RVD,,8,1,N,RVD,FALSE,143,sfaf.revision_date,str(8),,The date ( YYYYMMDD) on which the GMF frequency assignment was initially approved or most recently revised.
144,Time/Date Information,Approval Authority Indicator,,,1,1,N,,FALSE,144,sfaf.approval_authority_indicator,str(1),,Indicates whether or not the assignment is to be processed to IRAC for approval.
145,Time/Date Information,ITU BR Registration,,,"1,20",1,N,,FALSE,145,sfaf.itu_br_registration,str(20),,"Indicates the action taken, or to be taken, to register an assignment with the International Telecommunication Union (ITU) Radiocommunication Bureau (BR)."
146,Time/Date Information,DCS Trunk ID,,,6,20,N,,TRUE,146,sfaf.dcs_trunk_id,str(6),,The Defense Communications System (DCS) trunk identifier assigned by DISA. See Chapter 66 of DISAC 310-65-1.
147,Time/Date Information,Joint Agencies,JNT,,4,20,Y,*JNT,TRUE,147,sfaf.joint_agencies,str(4),,Identifies a joint assignment used by two or more agencies.
151,Organizational Information,Coordination Indicator,ICI,,1,1,Y,ICI,FALSE,151,sfaf.coordination_indicator,str(1),,"Indicates whether the IRAC is to coordinate the application with the Canadian Government, the Mexican Government, or both. It is also used for EUCOM assignments coordinated with NATO or host nations, or both."
152,Organizational Information,Coordination Data,,,35,30,Y,,TRUE,152,sfaf.coordination_data,str(35),,Comments previously coordinated by the FAS Secretary with Canada and/or Mexico. This is a two-part data item: the first part identifies the country and the second part identifies the comment from that country.
200,Organizational Information,Agency,,,6,1,N,,FALSE,200,sfaf.agency,str(6),,"Identifies the agency responsible for managing the frequency assignment. Within the DoD this is normally USA, DON, USAF, or NSA. If an assignment is in joint use by two or more agencies, then both Data Items 147 and 200 must be completed. The responsible DoD agency will be entered as the first data entry in Data Item 147 followed by the other joint agencies."
201,Organizational Information,Unified Command,,,8,10,N,,TRUE,201,sfaf.unified_command,str(8),,"The unified command (PACOM, EUCOM, SOUTHCOM, CENTCOM, JFMOLANT,NORTHCOM) or designated representative for the area in which the assignment will be used."
202,Organizational Information,Unified Command Service,,,8,10,N,,TRUE,202,sfaf.unified_command_service,str(8),,"The service-level organization within the unified command area that is responsible for managing the assignment. Within the CONUS, Data Item 202 identifies the Air Force or Army MAJCOM host responsible for the installation listed in Data Item 206."
203,Organizational Information,Bureau,BUR,,4,1,Y,BUR,FALSE,203,sfaf.bureau,str(4),,The Bureau to be included in the record.
204,Organizational Information,Command,,,18,1,N,,FALSE,204,sfaf.command,str(18),,The Major Command or other applicable organization frequency management level that is subordinate to the responsible agency identified in Data Item 200.
205,Organizational Information,Subcommand,,,18,1,N,,FALSE,205,sfaf.subcommand,str(18),,"The frequency management level between the command (Data Item 204) and the installation frequency manager (Data Item 206), or a level of command below the organization entered in Data Item 204."
206,Organizational Information,InstallationManager   Frequency,,,18,1,N,,FALSE,206,sfaf.installationmanager_frequency,str(18),,"Normally indicates the station, base, installation, or fort-level frequency management office responsible for the location of the operating unit."
207,Organizational Information,Operating Unit,,TRUE,18,10,N,,TRUE,207,sfaf.operating_unit,str(18),,The name or designation of the organization using the frequency assignment.
208,Organizational Information,User Net/Code,NET,,6,1,Y5,NET,FALSE,208,sfaf.user_net_code,str(6),,"A unique code that identifies the specific user of the frequency, i.e., the command, activity, unit, project, etc."
209,Organizational Information,AreaOtherAFC/DoDOrganizationsAFC,,,18,10,N,,TRUE,209,sfaf.areaotherafc_dodorganizationsafc,str(18),,"The DoD AFC, COCOM, Service Area Frequency Management Office, or other organization not provided in data items 200-208."
300,Transmitter Location Data,State/Country,XSC,TRUE,4,1,Y,XSC,FALSE,300,sfaf.tx_state_country,str(4),,"An authorized abbreviation for the state, country, or geographical area in which the transmitting station is located. This data item cannot be changed in an FRRS record containing 144."
301,Transmitter Location Data,Antenna Location,XAL,,24,1,Y,XAL,FALSE,301,sfaf.antenna_location,str(24),,"The name of the city, base, or geographical area of operation within which the transmitting antenna is actually located."
302,Transmitter Location Data,Station Control,XRC,,18,1,Y8,XRC,FALSE,302,sfaf.station_control,str(18),,"The operating unit that controls, either electrically or administratively, the transmitting station when it is different from the data entered in Data Item 207. This data item is not used by Air Force."
303,Transmitter Location Data,Antenna Coordinates,XLA XLG,,15,1,Y,XLA XLG,FALSE,303,sfaf.antenna_coordinates,str(15),,"The World Geodetic System 1984 (WGS 84) datum latitude and longitude (expressed in degrees, minutes, and seconds) of the transmitter antenna location entered in Data Item 301."
304,Transmitter Location Data,Call Sign,XCL,,10,1,Y8,XCL,FALSE,304,sfaf.call_sign,str(10),,"The international call sign assigned to the transmitting station. For navigational aids, this data item is used for the NAVAIDS identifier instead of a call sign."
306,Transmitter Location Data,Authorized Radius,XRD,,5,1,Y,*RAD,FALSE,306,sfaf.authorized_radius,str(5),,"The area of operation for a portable, mobile, or transportable transmitter station. This area is expressed as a radius in kilometers extending from the geographical coordinates listed in Data Item 303."
315,Space Stations,Equatorial Inclination Angle,XIN,,4,1,Y,*ORB,FALSE,315,sfaf.station_equatorial_inclination_angle,str(4),,"The angle at which the transmitting NONGEOSTATIONARY satellite's orbit crosses the equator. A nongeostationary satellite is defined as one whose circular orbit does not lie in the plane of the earth's equator and has a specific equatorial inclination, apogee, and perigee."
316,Space Stations,Apogee,XAE,,5,1,Y,*ORB,FALSE,316,sfaf.station_apogee,str(5),,The point in the orbit of a NONGEOSTATIONARY satellite at which it is farthest from the earth.
317,Space Stations,Perigee,XPE,,5,1,Y,*ORB,FALSE,317,sfaf.station_perigee,str(5),,The point in the orbit of a NONGEOSTATIONARY satellite at which it is nearest to earth.
318,Space Stations,Period of Orbit,XPD,,7,1,Y,*ORB,FALSE,318,sfaf.station_period_of_orbit,str(7),,The time it takes for a NONGEOSTATIONARY transmitter satellite to make one complete orbit.
319,Space Stations,Number of Satellites,XNR,,2,1,Y,*ORB,FALSE,319,sfaf.station_number_of_satellites,str(2),,The number of NONGEOSTATIONARY satellite transmitters in a system having similar orbital characteristics.
321,Space Stations,Power Density,SPD,,4,1,Y,SPD,FALSE,321,sfaf.station_power_density,str(4),,"The maximum power density, per hertz (in dBW), supplied to an earth or space station's antenna or to those of terrestrial stations (including experimental) employing earth or space-station techniques. For frequencies below 15 GHz, the power shall be averaged over the worst 4 kHz band; for frequencies 15 GHz and above, the power shall be averaged over the worst 1 MHz band. The worst 4 kHz and 1 MHz bands are defined as those having the highest power density within the assigned emission bandwidth."
340,Transmitter Equipment,Equipment Nomenclature,XEQ,,"1,18",10,Y,*EQT,TRUE,340,sfaf.equipment_nomenclature,str(18),Equipment,"Data Item 340 has two parts. The first part identifies the type of equipment (government, commercial, or unassigned) and the second part identifies either the standard military nomenclature or the commercial make and model number of the equipment at each specific transmitter station location. If both a military nomenclature and a commercial model number are assigned to the same equipment, the military nomenclature will be used.  Input Requirement: This data item is required. Enter the equipment type code followed by the equipment system or component nomenclature for the transmitter location. (If available, the system nomenclature is preferred rather than the component nomenclature; however, either is acceptable. Data items 340 and 343 are interrelated, and an entry in Data Item 340 should be accompanied by a corresponding entry in Data Item 343, if known. If Data Item 343 is known, enter the nomenclature exactly as it is recorded in the Spectrum Certification System (SCS) database or J-12 document DD Form 1494.) Enter one of the following equipment type codes: G - Government nomenclature C - Commercial model number U - Unassigned nomenclature "
341,Transmitter Equipment,"NumberName   of Stations, System","NTT,NAM",,"5,29",3,Y,*NRM,TRUE,341,sfaf.numbername_of_stations_system,str(29),Equipment,"A two part data item. The first part identifies the number of transportable, land-mobile and portable-type stations associated with the assignment and the second part identifies the name of the system involved. A station is one or more transmitters or receivers or a combination of transmitters and receivers, including the accessory equipment necessary at one location for carrying on a radio communication service. A system is considered two or more equipment having a common property, usually geographic, administrative, functional, or operational in nature."
342,Transmitter Equipment,Aircraft Nautical Mile Value,XNM,,4,1,N,*RAD,FALSE,342,sfaf.aircraft_nautical_mile_value,str(4),Equipment,The transmitter radius of aeronautical assignment group frequency area of operation in nautical miles and is computer-generated from Data Item 306.
343,Transmitter Equipment,Equipment Identification Certification Number,,,15,10,Y,"*AGN,JFA",TRUE,343,sfaf.equipmentidentificationcertificationnumber,str(15),Equipment,Indicates the certification number assigned to the transmitter equipment or system by the MCEB J-12 Working Group.
344,Transmitter Equipment,Off-the-shelf Equipment,EQS,,6,10,Y,*EQS,TRUE,344,sfaf.offtheshelf_equipment,str(6),,"May be used in frequency bands 29.89-50.00, 150.8-174.0, 406.1- 420.0 and 450-512 MHz for Land Mobile System (LMS) assignments. This data item may also be used in frequency bands 108.000-117.975 and 328.6-335.4 MHz for the following types of assignments: VOR1A, VOR1B, VOR2A, VOR2B, ILSLOC, or ILSGS."
345,Transmitter Equipment,Radar Tunability,TUN,,2,1,Y,*EQT,FALSE,345,sfaf.radar_tunability,str(2),,A coded entry describing the tuning capabilities of both pulsed and nonpulsed radars.
346,Transmitter Equipment,Pulse Duration,PDD,,"9, 9-9",30,Y,*EQT,TRUE,346,sfaf.pulse_duration,str(9),,The width of the transmitted pulse (measured in microseconds or milliseconds at the half-power (3 dB) points) for all equipment using pulsed emission.
347,Transmitter Equipment,Pulse Repetition Rate,PRR,,"9, 9-9",30,Y,*PRR,TRUE,347,sfaf.pulse_repetition_rate,str(9),,The number of pulses per second (PPS) for all equipment using pulsed emission.
348,Transmitter Equipment,Intermediate Frequency,,,11,1,N,,FALSE,348,sfaf.intermediate_frequency,str(11),,"The intermediate frequency (an image frequency at any given point in the tuning range) value resulting from a frequency conversion into a fixed, lower carrier (before demodulation)."
349,Transmitter Antenna Data,Sidelobe Suppression,,,1,1,N,,FALSE,349,sfaf.sidelobe_suppression,str(1),,"Indicates whether a portion of the radiation from an antenna outside of the main beam and usually of much less intensity has been suppressed or eliminated. The suppression or elimination of unwanted signals or interference takes place by means of shielding, filtering, grounding, component relocation, or sometimes redesign of the equipment in use."
354,Transmitter Antenna Data,Antenna Name,,,10,10,,,FALSE,354,,,Transmitter Antenna,The generic name for the type of antenna normally associated with the transmitter.
355,Transmitter Antenna Data,Antenna Structure Nomenclature,XAKXAT,,18,10,YYN,*EQTXAD,TRUE,355,sfaf.antenna_structure_nomenclature,str(18103),Transmitter Antenna,The standard military nomenclature or commercial manufacturer's make and model number of the transmitter antennas.
356,Transmitter Antenna Data,Antenna Structure Height,,,3,10,Y,,TRUE,356,sfaf.antenna_structure_height,str(3),Transmitter Antenna,The overall height (in meters) of the transmitter antenna support structure above ground level.
357,Transmitter Antenna Data,Antenna Gain,XAG,,4,10,Y,"XAD,*EGN, *SGN",TRUE,357,sfaf.antenna_gain,str(4),Transmitter Antenna,"The antenna gain, in decibels, with reference to an isotropic source (dBi) in the direction of maximum radiation."
358,Transmitter Antenna Data,Antenna Elevation,XSE,,5,10,Y,XAD,TRUE,358,sfaf.antenna_elevation,str(5),Transmitter Antenna,"the site's terrain elevation, in meters above mean sea level (AMSL), at the base of a fixed station's transmitter antenna. If the antenna is installed on a structure such as a tower or a building, the site elevation is specified as the ground elevation at the base of the structure."
359,Transmitter Antenna Data,Antenna Feedpoint Height,XAH,,5,10,Y,XAD,TRUE,359,sfaf.antenna_feedpoint_height,str(5),Transmitter Antenna,The distance (in meters) between the transmitter antenna's feedpoint and the terrain.
360,Transmitter Antenna Data,Antenna Horizontal Beamwidth,XBW,,4,10,Y,"XAD,*EBWb,*SBW",TRUE,360,sfaf.antenna_horizontal_beamwidth,str(4),Transmitter Antenna,"The angular beamwidth (measured in degrees at the half- power (3 dB) points) of space, earth or terrestrial station antennas (including experimental) employing earth or space-station techniques."
361,Transmitter Antenna Data,Antenna Vertical Beamwidth,,,3,10,N,,TRUE,361,sfaf.antenna_vertical_beamwidth,str(3),Transmitter Antenna,"The transmitter antenna vertical beamwidth, measured in degrees and normally taken as the angle between the half power points (-3 dB points) from the pattern of the antenna."
362,Transmitter Antenna Data,Antenna Orientation,XAZ,,3,10,,,TRUE,362,sfaf.antenna_orientation,str(3),Transmitter Antenna,"The physical direction or movement of the transmitter antenna. A second entry indicating the azimuth angle of the antenna's main beam may also be given. This second entry, given in degrees clockwise from true north, applies only to earth stations or terrestrial stations employing earth-station techniques."
363,Transmitter Antenna Data,Antenna Polarization,XAP,,1,10,,,TRUE,363,sfaf.antenna_polarization,str(1),Transmitter Antenna,A one-character code indicating the polarization of the electromagnetic radiation from the antenna.
373,Transmitter Antenna Data,JSC Area Code,,,1,1,N,,FALSE,373,sfaf.jsc_area_code,str(1),,A one-character code computer-generated by the JSC from Data Item 300. It indicates a minor area of the world in which the transmitter is located and is used to reduce computer search time. The list of approved codes are listed in Annex E to this appendix.
374,Transmitter Antenna Data,ITU Region,,,1,1,N,,FALSE,374,sfaf.itu_region,str(1),,"A single integer (1, 2, or 3) indicating an ITU-designated region of the world in which the transmitter is located."
400,Receiver Location Data,State/Country,RSC,,4,1,Y,RSC,FALSE,400,sfaf.rx_state_country,str(4),Receiver Location,"Authorized abbreviation for the state, country, or geographical area in which the receiving station is located. The approved list of abbreviations are listed in Annex C to this appendix."
401,Receiver Location Data,Antenna Location,RAL,,24,1,Y,RAL,FALSE,401,sfaf.rx_antenna_location,str(24),Receiver Location,"The name of the city, base, or geographical area of operation within which the receiving antenna is actually located."
402,Receiver Location Data,Receiver Control,RRC,,18,1,Y8,RRC,FALSE,402,sfaf.receiver_control,str(18),Receiver Location,"The operating unit that controls, either electrically or administratively, the receiver station when it is different from the data entered in Data Item 207. Data Item 402 is not used by the Air Force."
403,Receiver Location Data,Antenna Coordinates,RLA RLG,,15,1,Y,RLA RLG,FALSE,403,sfaf.rx_antenna_coordinates,str(15),Receiver Location,"The WGS 84 datum latitude and longitude (expressed in degrees, minutes, and seconds) of the receiver antenna location(s) entered in Data Item 401."
404,Receiver Location Data,Call Sign,RCL,,10,1,Y8,ACL,FALSE,404,sfaf.rx_call_sign,str(10),Receiver Location,"The international call sign assigned to the receiving station. For navigational aids, this data item is used for the NAVAIDS identifier instead of a call sign."
406,Receiver Location Data,Authorized Radius,RRD,,4,1,Y,*RAD,FALSE,406,sfaf.rx_authorized_radius,str(4),Receiver Location,"The area of operation for portable, mobile, or transportable receiver stations. This area is expressed as a radius in kilometers extending from the coordinates listed in Data Item 403."
407,Receiver Location Data,Path Length,,,5,1,N,,FALSE,407,sfaf.rx_path_length,str(5),Receiver Location,The distance (in kilometers) between the terrestrial transmitter and receiver stations.
408,Receiver Location Data,Repeater Indicator,RPT,,1,1,Y,*RPTb,FALSE,408,sfaf.rx_repeater_indicator,str(1),Receiver Location,Indicates if the receiver station is used primarily as a repeater. A direct coupling between the station's receiver and the station's transmitter allows the incoming signal to be retransmitted exactly as received.
415,Space Stations Receiver,Equatorial Inclination Angle,RIN,,4,1,Y,*ORB,FALSE,415,sfaf.equatorial_inclination_angle,str(4),,"The angle at which the nongeostationary receiving satellite's orbit crosses the equator. A nongeostationary satellite is defined as one whose circular orbit does not lie in the plane of the earth's equator and that has a specific equatorial inclination, apogee, and perigee."
416,Space Stations Receiver,Apogee,RAE,,5,1,Y,*ORB,FALSE,416,sfaf.apogee,str(5),,The point in the orbit of a nongeostationary receiver satellite at which it is farthest from the earth.
417,Space Stations Receiver,Perigee,RPE,,5,1,Y,*ORB,FALSE,417,sfaf.perigee,str(5),,The point in the orbit of a nongeostationary receiver satellite at which it is nearest to the earth.
418,Space Stations Receiver,Period of Orbit,RPD,,7,1,Y,*ORB,FALSE,418,sfaf.period_of_orbit,str(7),,The time it takes for a nongeostationary receiver satellite to make one complete orbit.
419,Space Stations Receiver,Number of Satellites,RNR,,2,1,Y,*ORB,FALSE,419,sfaf.number_of_satellites,str(2),,The number of nongeostationary receiving satellites in a system having similar orbital characteristics.
440,Receiver Equipment,Equipment Nomenclature,REQ,,"1,18",10,Y,*EQR,TRUE,440,sfaf.rx_equipment_nomenclature,str(18),Receiver Equipment,"A two-part data item. The first part identifies the type of equipment (government, commercial, or unassigned), and the second part identifies either the standard military nomenclature or the commercial make and model number of the equipment at each specific receiver station location. If both a military nomenclature and a commercial model number are assigned to the same equipment, the military nomenclature will be used."
442,Receiver Equipment,Aircraft Nautical Mile Value,RNM,,4,1,N,*RAD,FALSE,442,sfaf.rx_aircraft_nautical_mile_value,str(4),Receiver Equipment,The receiver radius of aeronautical assignment group frequency area of operation in nautical miles and is generated from Data Item 406.
443,Receiver Equipment,EquipmentIdentificationCertificationNumber,,,15,10,N,,TRUE,443,sfaf.rx_equipidcertnumber,str(15),Receiver Equipment,The certification number assigned to the receiver equipment or system by the MCEB J-12 Working Group.
454,Receiver Antenna Data,Antenna Name,RAT,,10,10,Y,RAD,TRUE,454,sfaf.rx_antenna_name,str(10),Receiver Antenna,The generic name for the type of antenna.
455,Receiver Antenna Data,Antenna Nomenclature,RAK,,18,10,Y,*EQR,TRUE,455,sfaf.rx_antenna_nomenclature,str(18),Receiver Antenna,The standard military nomenclature or commercial manufacturer’s make and model number of the antenna.
456,Receiver Antenna Data,Antenna Structure Height,,,3,10,N,,TRUE,456,sfaf.rx_antenna_structure_height,str(3),Receiver Antenna,The overall height in meters of the receiver antenna support structure above ground level.
457,Receiver Antenna Data,Antenna Gain,RAG,,4,10,Y,"RAD,*SGN*EGN",TRUE,457,sfaf.rx_antenna_gain,str(4),Receiver Antenna,The antenna gain in decibels with reference to an isotropic source (dBi) in the direction of maximum radiation.
458,Receiver Antenna Data,Antenna Elevation,RSE,,5,10,Y,RAD,TRUE,458,sfaf.rx_antenna_elevation,str(5),Receiver Antenna,"The site's terrain elevation, in meters AMSL, at the base of a fixed station's receiver antenna. If the antenna is installed on a structure such as a tower or a building, the site elevation is specified as the ground elevation at the base of the structure."
459,Receiver Antenna Data,Antenna Feedpoint Height,RAH,,5,10,Y,RAD,TRUE,459,sfaf.rx_antenna_feedpoint_height,str(5),Receiver Antenna,The distance (in meters) between the receiver antenna's feedpoint and the terrain.
460,Receiver Antenna Data,Antenna Horizontal Beamwidth,RBW,,4,10,Y,"RAD,*EBW,*SBW",TRUE,460,sfaf.rx_antenna_horizontal_beamwidth,str(4),Receiver Antenna,"The angular beamwidth (measured in degrees at the half- power (3 dB) points) of space, earth, or terrestrial stations antennas (including experimental) employing space or earth-station techniques."
461,Receiver Antenna Data,Antenna Vertical Beamwidth,,,3,10,N,,TRUE,461,sfaf.rx_antenna_vertical_beamwidth,str(3),Receiver Antenna,"The receiver antenna vertical beamwidth, measured in degrees and normally taken as the angle between the half-power points (-3 dB points) from the pattern of the antenna."
462,Receiver Antenna Data,Antenna Orientation,"RAZ,RAA",,"3,3-33,3",10,Y,"RAZ,RAD",TRUE,462,sfaf.rx_antenna_orientation,str(33),Receiver Antenna,"The physical direction or movement of the receiver antenna. A second entry indicating the azimuth angle of the antenna's main beam may also be given. This second entry, given in degrees, clockwise from true north, applies only to earth stations or terrestrial stations employing earth station techniques."
463,Receiver Antenna Data,Antenna Polarization,RAP,,1,10,Y,RAP,TRUE,463,sfaf.rx_antenna_polarization,str(1),Receiver Antenna,A one-character code indicating the polarization of the electromagnetic radiation from the antenna.
470,Space Systems,Space Station Noise Temperature,SNT,,10,,N,,FALSE,470,sfaf.space_station_noise_temperature,str(10),,The noise temperature of the receiving space stations.
471,Space Systems,Earth Station System Noise,RNT,,10,,N,,FALSE,471,sfaf.earth_station_system_noise,str(10),,The noise temperature of the receiving earth station(s).
472,Space Systems,Equivalent Satellite Link Noise,ENT,,10,,N,,FALSE,472,sfaf.equivalent_satellite_link_noise,str(10),,The noise temperature at the input of the earth-station receiver corresponding to the radio-frequency noise power that produces the total observed noise at the output of the satellite link. This excludes noise due to interference coming from satellite links using other satellites and from terrestrial systems.
473,Space Systems,JSC Area Code,,,1,1,N,,FALSE,473,sfaf.rx_jsc_area_code,str(1),,A minor area of the world in which the receiver is located and is used to reduce computer search time. The list of approved codes are listed in Annex E to this appendix.
500,Supplementary Details,IRAC Notes,NTS,,4,10,Y,NTS,TRUE,500,sfaf.irac_notes,str(4),,"A 4-character code identifying the IRAC note(s) (less M notes) applicable to the frequency assignment. The five types of notes which may be entered in this data item are: C (coordination), E (emission), L (limitation), P (priority), and S (special). M (minute) notes are entered only in Data Item 501 (Notes--Free Text). A complete listing of IRAC notes is contained in Annex F to this appendix."
501,Supplementary Details,Notes free-text Comments,NOT,,35,30,Y,*NTS,TRUE,501,sfaf.notes_freetext_comments,str(35),,The M (minute) note(s) and complete the amplifying conditional comments as agreed to by the IRAC FAS. A complete listing of IRAC M notes is contained in Annex F to this appendix.
